"uid","releaseLocation","totalLength","datetime","lat","long","active"
"151.5_22","Rocky Point",190,2018-04-24 08:24:51,42.4760464,-122.0866897,0
"151.5_22","Rocky Point",190,2018-04-26 15:10:09,42.4780147,-122.0859,0
"151.5_22","Rocky Point",190,2018-05-01 14:37:55,42.4787564,-122.0849933,0
"151.5_22","Rocky Point",190,2018-05-08 08:51:52,42.4776381,-122.086895,0
"151.5_22","Rocky Point",190,2018-05-15 11:43:17,42.4743164,-122.0850683,0
"151.5_22","Rocky Point",190,2018-05-17 11:38:32,42.477675,-122.0870864,0
"151.5_22","Rocky Point",190,2018-05-22 11:28:11,42.4776917,-122.084585,0
"151.5_22","Rocky Point",190,2018-05-24 15:03:56,42.477595,-122.0867781,0
"151.5_22","Rocky Point",190,2018-06-05 13:18:51,42.477625,-122.0867831,0
"151.5_22","Rocky Point",190,2018-06-07 10:38:04,42.4787147,-122.0854081,0
"151.5_22","Rocky Point",190,2018-06-12 09:23:24,42.4771867,-122.0861864,0
"151.5_22","Rocky Point",190,2018-06-14 13:03:28,42.4776517,-122.0868767,0
"151.5_22","Rocky Point",190,2018-06-19 11:10:01,42.4773314,-122.08536,0
"151.5_22","Rocky Point",190,2018-06-21 12:11:51,42.4779331,-122.0855217,0
"151.5_22","Rocky Point",190,2018-06-26 13:10:42,42.4771047,-122.0859667,0
"151.5_22","Rocky Point",190,2018-06-28 13:11:08,42.4773481,-122.0859333,0
"151.5_22","Rocky Point",190,2018-07-03 12:13:34,42.477628475,-122.086987575,0
"151.5_22","Rocky Point",190,2018-07-05 12:27:31,42.4773581,-122.0866181,0
"151.5_22","Rocky Point",190,2018-07-10 12:29:09,42.4775483,-122.0865464,0
"151.5_22","Rocky Point",190,2018-07-12 12:38:17,42.4772531,-122.086075,0
"151.5_22","Rocky Point",190,2018-07-17 12:48:56,42.4776247,-122.08701,0
"151.5_22","Rocky Point",190,2018-07-19 12:23:27,42.4770714,-122.0863767,0
"151.5_22","Rocky Point",190,2018-07-24 12:47:24,42.4775097,-122.0870017,0
"151.5_22","Rocky Point",190,2018-07-26 12:50:26,42.4773997,-122.08663,0
"151.5_22","Rocky Point",190,2018-07-31 12:38:22,42.4774581,-122.0862281,0
"151.5_22","Rocky Point",190,2018-08-02 12:20:24,42.4776247,-122.08702,0
"151.5_22","Rocky Point",190,2018-08-07 12:59:57,42.477695,-122.0868864,0
